EXCH_ID,SEGMENT,SECURITY_ID,ISIN,INSTRUMENT,UNDERLYING_SECURITY_ID,UNDERLYING_SYMBOL,SYMBOL_NAME,DISPLAY_NAME,INSTRUMENT_TYPE,SERIES,LOT_SIZE,SM_EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE,TICK_SIZE,EXPIRY_FLAG,BRACKET_FLAG,COVER_FLAG,ASM_GSM_FLAG,ASM_GSM_CATEGORY,BUY_SELL_INDICATOR,BUY_CO_MIN_MARGIN_PER,SELL_CO_MIN_MARGIN_PER,BUY_CO_SL_RANGE_MAX_PERC,SELL_CO_SL_RANGE_MAX_PERC,BUY_CO_SL_RANGE_MIN_PERC,SELL_CO_SL_RANGE_MIN_PERC,BUY_BO_MIN_MARGIN_PER,SELL_BO_MIN_MARGIN_PER,BUY_BO_SL_RANGE_MAX_PERC,SELL_BO_SL_RANGE_MAX_PERC,BUY_BO_SL_RANGE_MIN_PERC,SELL_BO_SL_MIN_RANGE,BUY_BO_PROFIT_RANGE_MAX_PERC,SELL_BO_PROFIT_RANGE_MAX_PERC,BUY_BO_PROFIT_RANGE_MIN_PERC,SELL_BO_PROFIT_RANGE_MIN_PERC,MTF_LEVERAGE,Unnamed: 39,symbol,YahooSymbol,sector_yahoo,industry_yahoo,market_cap,sector,cap_category
NSE,E,100,INE885A01032,EQUITY,,ARE&M,AMARA RAJA ENERGY MOB LTD,Amara Raja Energy & Mobility,ES,EQ,1.0,,,,10.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.372681,,ARE&M,AREM.NS,,,,ENERGY,UNKNOWN
NSE,E,10074,INE830C01026,EQUITY,,EMAMIPAP,EMAMI PAPER MILLS LIMITED,Emami Paper Mills,ES,EQ,1.0,,,,1.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,,EMAMIPAP,EMAMIPAP.NS,Basic Materials,Paper & Paper Products,5724933120.0,Basic Materials,SMALL_CAP
NSE,E,1008,INE188A01015,EQUITY,,FACT,FACT LTD,Fertilisers & Chemical Travancore,ES,EQ,1.0,,,,5.0,,N,Y,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69179,,FACT,FACT.NS,Basic Materials,Agricultural Inputs,590647328768.0,Basic Materials,LARGE_CAP
NSE,E,10099,INE102D01028,EQUITY,,GODREJCP,GODREJ CONSUMER PRODUCTS,Godrej Consumer Products,ES,EQ,1.0,,,,10.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.545455,,GODREJCP,GODREJCP.NS,Consumer Defensive,Household & Personal Products,1172782579712.0,Consumer Defensive,LARGE_CAP
NSE,E,1011,INE513A01022,EQUITY,,SCHAEFFLER,SCHAEFFLER INDIA LIMITED,Schaeffler India,ES,EQ,1.0,,,,10.0,,N,Y,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.374958,,SCHAEFFLER,SCHAEFFLER.NS,Consumer Cyclical,Auto Parts,646635257856.0,Consumer Cyclical,LARGE_CAP
NSE,E,10159,INE730A01022,EQUITY,,ORICONENT,ORICON ENTERPRISES LTD,Oricon Enterprises,ES,EQ,1.0,,,,1.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,,ORICONENT,ORICONENT.NS,Consumer Cyclical,Packaging & Containers,9154362368.0,Consumer Cyclical,SMALL_CAP
NSE,E,10176,INF200KA1FS1,EQUITY,,SETFNIF50,SBI-ETF NIFTY 50,SBI Nifty 50 ETF,ETF,EQ,1.0,,,,1.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,,SETFNIF50,SETFNIF50.NS,,,,UNKNOWN,UNKNOWN
NSE,E,10181,INE875R01011,EQUITY,,BALKRISHNA,BALKRISHNA PAPER MILLS L,Balkrishna Paper Mills,ES,EQ,1.0,,,,1.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,BALKRISHNA,BALKRISHNA.NS,Consumer Cyclical,Packaging & Containers,716562368.0,Consumer Cyclical,SMALL_CAP
NSE,E,10188,INE979R01011,EQUITY,,SHYAMCENT,SHYAM CENTURY FERROUS LTD,Shyam Century Ferrous,ES,EQ,1.0,,,,1.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,SHYAMCENT,SHYAMCENT.NS,Basic Materials,Steel,1281625984.0,Basic Materials,SMALL_CAP
NSE,E,10217,INE931S01010,EQUITY,,ADANIENSOL,ADANI ENERGY SOLUTION LTD,Adani Energy Solutions,ES,EQ,1.0,,,,5.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.435246,,ADANIENSOL,ADANIENSOL.NS,Utilities,Utilities - Independent Power Producers,1231915450368.0,Utilities,LARGE_CAP
